# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one of two things, and neither is ever merged with the other:
#
#   * ONE VERB ENTRY some stories declare — the spellings a game's own author
#     wrote on a single verb, which is that author saying these words are one
#     action.  Believed only where several stories agree, and greppable in
#     crates/verb-synonyms-gen/if_groups.tsv, which is where a row's provenance
#     can be looked up: this file is members and nothing else.
#   * ONE WORDNET SYNSET, filtered to words a player might type, plus — where a
#     synset no story could match has a hypernym that one can — that synset
#     unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# WHERE THE TWO DISAGREE, THE GAMES WIN.  A game-derived group comes before
# every synset containing the same word, because a game author writing
# `Verb 'examine' 'x' 'inspect'` has stated what a word means IN A PARSER, and
# that is the only question this table asks.  WordNet is not overruled, only
# outranked: its groups still follow, and reach a story that implements a word
# no game in the corpus grouped.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear best-guess first: that word's game-derived groups, then its
# synsets in WordNet's own sense order, commonest sense first.  A consumer can
# therefore walk them and stop after three or four dictionary matches.  Sorting
# the file alphabetically destroys that signal silently.  Member order within a
# line is significant too: verbs the corpus actually uses come first, commonest
# first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
#             game-support 2 game-group-cap 13
# From 15454 harvested IF spellings, 2467 of which WordNet knows as verbs.
# 3467 groups, 12298 memberships.
accuse	impeach	incriminate
admire	look up to
give up	throw overboard	forego	forfeit	forgo	waive
glare	glower
gnaw	eat at	erode	gnaw at	wear away
gossip	dish the dirt
grieve	sorrow
grieve	aggrieve
grimace	make a face	pull a face
grind	grate
groan	ugh	uh	um
groove	furrow	rut
grope for	scrabble
gurgle	babble	bubble	ripple
burp	belch	bubble
hack	saw
ham	ham it up
hammer	forge
hang	hang up
hang	string up
harken	hark
harvest	reap	glean
hate	detest
haul off	cart away	cart off	haul away
heat	warm	cook
hello	hi
greet	salute	hello	hi
greet	salute	hello	hi	bye
help	hint
herd	crowd
hiccup	hiccough
hide	conceal
highlight	foreground	play up	spotlight
hike up	hitch up
hint	help	clue
help	aid
hint	help	clue	credit	author	about	menu	info
hiss	whoosh
hit	strike	slap	whack	swat
hold on	grasp
hold over	carry over
carry over	carry forward
holler	holler out
hone	sharpen
hop	skip	jump
hum	buzz	seethe
boil	seethe
hurrah	woo	hooray
hurrah	hooray
ignore	snub	disregard
in	inside
inch	edge
indulge	gratify	pander
infuriate	exasperate	incense
inhale	hyperventilate
insult	affront
interpret	construe
introduce	acquaint
introduce	innovate
inventory	take stock
invite	ask over	ask round
iron	iron out
jack	jack up
jar	clash	collide
jar	jolt
jar	shake up	bump around
jiggle	loosen	wiggle	wobble	hook
jiggle	wiggle	joggle
jog	ramble	ramble on
juggle	beguile
jump	leap
kick	taunt	bite
kick around	kick about	knock about
kick in	set in
kick off	inaugurate
kill	murder	slay	stab	dispatch
dispatch	route	send off
kill	ruin
kill off	exterminate
kiss	smooch
kiss	care	fond
kiss	embrace	hug	smooch
kiss	osculate
kneel	bow	grovel	genuflect
bow	curtsy	curtsey
bow	bow down
curtsy	curtsey
knock	rap
knock	rap	pound
knock	rap	bang
knock	rap	pound	tap
knock	strike hard
knock	bump
knock out	knock cold
land	dock	moor
lap	swish
lasso	rope
laugh at	make fun	roast	guy	jest at	poke fun	rib	ridicule	roasted
launch	set up	establish	found
lay into	pitch into	tear into	lace into
lay over	stop over
lead off	lead astray
lead on	deceive	delude	fox	play a joke on	play a trick on	pull a fast one on	trick
confuse	confound	fox
leak	leak out
lean on	rest on	lean against
leash	rope
lie about	lie around
lift	raise
lift	raise	boost
hike	hike up	boost
lift	raise	hoist	elevate
lift	raise	erect
light	light up	illuminate
limber	limber up
line	run along
listen	hear
hear	list
listen in	eavesdrop
loathe	abhor
lock	latch
log out	log off
look	stare	gaze
look	stare	gaze	peek	peer
look	sear	exam
look back	look backward
lose	misplace
low	moo
lubricate	oil	grease
lubricate	lube
make	mix
make over	rework
make over	redo	remake
map	chart
map	map out
marinate	marinade
mark	label	tag
mark	dimension
marry	wed
mask	disguise
match	compare
measure	measure out
measure	quantify	meter
melt	liquify
liquify	flux
melt	thaw
melt	melt down
mind	take care
moan	groan
mock	guy	jest at	poke fun	rib	ridicule
monitor	supervise
munch	crunch
neigh	nicker	whicker	whinny
nope	no	nah	uh-uh
nosh	snack
note	jot	writ
jot	jot down
obtain	source
obtain	gain
offend	pique
oil	anoint
oink	grunt	squeal
oink	squeal
okay	yes	sure	yup
no	yes	maybe
okay	negative	affirm	yes	no	sure	nope	yup	nay	aye
nope	nah	never
open	unwrap	uncover
open	unwrap	uncover	undo
open	unseal
open	unseal	disassemble
open	part	draw
draw	reap
oscillate	vibrate	hover
out	exit	outside
exit	depart	withdraw
depart	exit	withdraw	scram
out	exit	off	outside
paint	stain
palpitate	quake	quiver
palpitate	flutter
bat	flutter
paper	wallpaper
pare	pare down
pare	whittle
pay	bribe	entice
buy	bribe	corrupt
entice	lure	tempt
give	offer	feed	pay	hand	deliver
invite	tempt
pay	finance
peck	beak
perch	roost
petrify	petrified
pick up	lift up	gather up
piddle	trifle	wanton	wanton away
pig	pig it
pivot	swivel
plague	blight
plan	be after
plan	schedule
plan	chart
play	fiddle	toy	cavort
fiddle	shrink from
fiddle	monkey	tamper
mess around	monkey	monkey around	muck about	muck around	potter	putter	tinker
play	star
plug in	plug into
plunk	clump
plonk	plunk	plank	plop	plump	plump down	plunk down
point	gesture
point	aim
point	aim	shine
clean	polish	shine	scrub	brush	mop	swab
clean	wipe	polish	sweep	brush	smear
clean	make clean
point	aim	gesture
poke	jab	blind
pop	burst
pop	deflate
deflate	puncture
pop out	burst out
pounce	swoop
pour	spill
pour	spill	sprinkle
pray	beg	implore	insist
prick	prickle
print	publish
provide	furnish	render	supply
pry	lever	force	prise	prize
puff	huff
pull	drag
pull	tug
pull	drag	tug
pull	drag	tug	yank
pull off	pluck	tweak	pick off
carry off	pull off	bring off	manage
carry off	bear away	bear off	carry away	take away
pluck	hustle
pull off	draw away	draw off
pulse	pulsate	throb
punch in	clock in	clock on
punch out	clock off	clock out
punt	pole
push	press	move	shift	clear
clear	empty
pour	spill	empty
pour	douse
push	press	shove
pull	drag	tug	yank	shove
drag	haul	cart
move	pull	lead
move	shift	roll	dislocate
push around	boss around	bully
push away	push aside
brush off	dismiss	ignore	push aside	brush aside	discount	disregard	slight
ignore	disregard	neglect
push forward	barge	thrust ahead
push on	press on
push out	thrust out
put	place	insert	stuff	lay
drop	put	disc
put over	get across
put over	hold over	shelve	table	defer	postpone	put off	remit	set back
quake	tremor
question	call into question
question	interrogate
query	question
question	interview
quit	die
quit	end
rage	ramp	storm
rake in	shovel in
rape	molest
rape	molest	defile	ravish	hump
attack	fight	rape	molest	assault	repel
defile	cloud	corrupt	sully	taint
defile	stain	sully	tarnish
hump	hunch	hunch forward	hunch over
infect	taint
kill	attack	hit	fight	murder	slay	stab	slap	strike
break	smash	destroy	hit	damage	chop	chip
break	smash	destroy	wreck	crack	damage	demolish	erase	trash
break	smash	destroy	wreck	crack	scratch	scrape
chop	chop up
chop	hack
hit	fee	tic
junk	scrap	trash
kick	slap	poke	prod	spank	beat
kill	murder	hit	punch	slay	stab	slap	strike	whack	wound
rat	scab
raven	predate	prey
reach	grope
grope	fumble
read	skim
read	skim	browse
read	skim	browse	leaf
look	see	read	exam
read	skim	peruse
look	sear	read	stud	open	exam
open	unzip
recapture	retake
refill	fill again	replenish
refuse	reject	turn down	pass up	decline
reject	disapprove	object
reload	recharge
repent	atone
repent	regret	rue
replace	supersede	supplant
replace	put back
put back	knock back	set back
replay	play back
reset	readjust
rest on	repose on	build on	build upon	owe
restore	load
load	laden	load up
restore	resume
restart	resume
retire	withdraw	retreat	move back	pull back	draw back	pull away	recede
retire	adjourn
retract	recant
retract	shrink back
retract	pull back	draw back
retract	draw in
pull	pull in	draw in	attract
draw in	curl	curl up
close in	draw in
retreat	retrograde
retreat	back away	pull back	back out
return	home
review	reexamine
review	critique
revolve around	circle around	circle round
ring	peal
rinse	rinse off
rip	tear
rip	tear	shred
rip	tear	cut	slash
rip	rend
roll down	avalanche
roll off	rattle down	rattle off	reel off
roll up	furl
root	rout
rot	decompose
rough	rough in	rough out
rub	shin
feel	touch	pet	pat	rub	shade
feel	touch	pet	pat	rub	disturb
feel	touch	pet	pat	fondle	stroke	poke	scratch
poke	prod	stab
rub along	scrape along	scrape by	scratch along	squeak by	squeeze by
rub off	rub down
run	walk	go
run	walk	proceed	step	go
run	walk	leave	go
boar	go
run off	bolt	go off	make off
run on	keep going
keep going	bridge over	tide over
bridge	bridge over
run out	drain
drain	debilitate
run out	run off	bolt	beetle off	bolt out
gobble	bolt
run out	expire
run through	go through	work through
pass	go across	go through	muscle
pass	cycle	go across	go through
saint	enshrine
save	rescue
rescue	preserve
save	pause	suspend
pause	hesitate
say	speak	answer	shout
answer	reply
reply	answer	respond
answer	reply	guess
scan	glass
score	status
scrap	dispute	quarrel
scrape	grate
scribble	scrabble
scribble	scrawl
scrub	scour
scrub	scrub up
sculpt	grave	sculpture
inscribe	grave	engrave
etch	engrave
scuttle	scamper	scurry	skitter
search	rummage
dig	search
dig	excavate
excavate	unearth
search	rummage	frisk	ransack	sift
reach	rummage
search	rummage	sift	sort
seed	sow
sell up	sell out
set	adjust
settle on	fixate
shade	shadow	shade off
shade	fill in
shake	rattle
rattle	shake	jostle
shake	bounce
shake	rock
shake up	reorganize
share	pool
share	partake	partake in
sheathe	unsheathe
shed	doff	remove
shelter	house
shelter	stable
shine at	excel at
shit	fuck	damn	sod
damn	curse
fuck	piss
shit	fuck	damn	curse
curse	swear	cuss
fuck	shit	piss	ball	bog	cunt
bog	bog down
fuck	shit	piss	wank
piss	pee	wee	crap	poop
pee	piss	urinate	wee	piddle	wee-wee	micturate	pee-pee	make water	pass water	puddle	relieve oneself	spend a penny	take a leak
shock	ball over	blow out of the water	floor	take aback
shoo	scram	boo	scat
hiss	boo
scram	fuck off	bugger off	buzz off
fuck off	jack off	jerk off	wank	masturbate
shoo	shoo away	shoo off
shoot	fire
fire	shoot	blast	burn	zap
blast	blare
beep	honk	toot	blare
burn	ignite	kindle	char	cremate	combust	scorch	incinerate
burn	on
char	coal
fire	open fire
kindle	inflame
sear	scorch	singe
char	scorch	sear	blacken
sear	parch
show	display	present
give	offer	hand	donate	deliver	bestow	present
deliver	declaim
declaim	recite
offer	proffer
offer	volunteer
recite	retell
shower	lavish
shower	shower down
shriek	pipe	pipe up	shrill
shuffle	scuffle	shamble
shut	close	cover
close	shut	slam
bang	slam
cover	block	shield
sigh	mumble
mumble	mutter
mumble	gum
sigh	grumble	bah
sign	subscribe
sign	ratify
sign	initial
sign over	sign away
sing	whistle
sit	lie
lie	recline
sit	squat	crouch	settle
hide	crouch
put	place	insert	stuff	hide
put	place	insert	stuff	lay	stash
put	place	insert	stuff	stick
settle	settle down
settle down	root	steady down	take root
sit by	sit back
sit down	seat
sit up	stay up
sketch	chalk out
sketch	outline
outline	draft
slap on	clap on	slam on
slaughter	butcher
slaughter	massacre	mow down
sleep	nap
sleep	nap	snooze	rest
nap	sleep	snooze	doze
sit	squat	rest
sit	climb
climb	scale	ascend	descend
climb	board
climb	scale	crawl	creep
climb	hatch
crawl	kneel	peek
creep	sneak	mouse
crawl	creep	grovel	cower	cringe	fawn
enter	cross	board
board	ride	embark
cross	ford	traverse
enter	get in	get into	move into	come in	go in	go into
enter	participate
lie	sit	recline	climb	lay
lie	recline	repose
lie	top
lie	cap	crest
lie	front
recline	lean back
sit	sit down
sit	sit around
sleep	nap	snooze	rest	doze
nap	catch a wink
rest	relax
sleep	slumber
sleep in	sleep late
sleep in	live in
slice	slit
slice	slice up
slice through	slice into
sling	catapult
slog	peg away	plug away
smack	thwack
smell	sniff
smell	sniff	whiff
smell	sniff	whiff	inhale
smile	grin
smite	afflict
smoke	fume
smooch	spoon
snap	snarl
snap at	bite off
sneak away	sneak out	slip away	sneak off	steal away
sniff	whiff
snooze	doze
snort	huff
snort	take a hit
snuff	snuffle
soak	wet
sound off	speak out	opine	speak up
sound off	strike up
complain	plain	sound off
sow	sow in
spear	spear up
spell	spell out
spill	slop	splatter
spill	run out
spin	whirl
spirit	spirit up
spit	drool
drool	salivate
drool	slaver	dribble	slobber
spit	spew
spew	spew out
splash	drown
spot	spy
spread out	string out
sprout	burgeon forth	germinate
spur	goad
squeal	confess
confess	concede	profess
squeeze	squash
stab	knife
stack	pile	heap
stamp	trample
break	smash	destroy	wreck	damage	demolish	crush	trample
demolish	pulverize
squeeze	squash	crush	crumple	squish
feel	touch	pet	pat	rub	squeeze
squeeze	squash	grip
stand	rise
stand back	stay away
star	asterisk
stare	gaze
start	activate
activate	enable
starve	crave	hunger	lust	thirst
step in	interfere	intervene
step on	tread on
step up	escalate	intensify
step up	rev up
rev	rev up
stick around	stand by	stick about
stick on	plaster	plaster over
stick on	affix
affix	append	add on	supplement
stop	halt
stop	block
stop	brake
stop	deactivate
stretch	stretch along
strike back	retaliate
stroll	saunter
stud	dot
stun	sandbag
stun	daze
suckle	nurse
super	superb
suspend	freeze
swab	dab
sweep	brush
sweep	sail
sweep	broom
drag	sweep	drag in	sweep up	tangle	embroil
drag	get behind	trail	drop back	drop behind	hang back
chase	chase after	track	trail	dog	give chase	go after	tag	tail
knot	tangle
swim	wade	bathe
bathe	bath
swim	dive
jump	leap	dive
jump	hop	skip	leap
jump	leap	dive	vault
jump	leap	vault	bound	hurdle
jump	leap	dive	vault	bound	hurdle
dive	plunk	plunge
jump	leap	bound	spring
launch	plunge
launch	set in motion
skip	hop	cavort	gambol
swing	thrust
push	press	shove	nudge	stick	thrust
nudge	prod	poke at
push	press	move	shift	clear	tilt
push	jab
shove	jostle
swing	slide
table	tabulate
take	carry	hold
take	get	grab
take	hold	carry	get	grab
take	hold	carry	get	grab	remove
get	take	pick
remove	unwrap
take	hold	carry	grab	get	catch	remove
take	hold	carry	grab	get	catch	snatch
catch	capture
take	hold	get	grab	pick
take	hold	carry	grab	get	catch	steal	snatch	seize
get	cat	pic
grab	catch	steal	trap	swipe	pin
hold	keep	maintain
snatch	snatch up
snatch	abduct	kidnap
take hold	take charge	take control
hold	take hold
take up	seize on	fasten on	hook on	latch on
talk	speak
say	talk
say	talk	call
call	phone
phone	call	dial
talk about	discuss	discourse
talk about	talk of
tangle	dishevel	tousle
snarl	tangle	entangle	mat
snarl	snarl up
tape	videotape
taste	lick
taste	lick	nibble
lick	chew
taste	sample
eat	consume	taste	bite
tear off	tear away
tear up	rip up	shred
tell	inform	advise
term	terms
thank	thanks
throw out	ban	expel	kick out	ostracize
throw overboard	deep-six
tie	fasten	attach	fix
fix	repair	patch	plug	glue
fix	mend
fix	make
glue	paste
patch	patch up
plug	fit
cover	plug
cover	spread over	bloody
fix	fit
fit	suit	accommodate
repair	service
suit	befit
time	clock
tinkle	chink	clink
tip	fee
tip	topple	tumble
toe	toenail
toss	throw	hurl	chuck
toss	throw	hurl	chuck	fling	pitch
toss	throw	hurl	cast
cast	invoke
trade	merchandise	traffic
trade	market	merchandise
shop	market
shop	buy at	frequent	patronize	shop at	sponsor
back up	support	buy at	frequent	patronize	shop at	sponsor
back up	support	encourage	further	promote
back up	back down	back off
browse	shop
trade	import	merchandise
trade	export	merchandise
trade	trade in
trail	shack
transfer	reassign
trap	pin down
trash	tear apart	pan
treasure	temple
tune	tune up
turn	rotate	twist	screw	unscrew
screw	plug
spin	rotate	whirl
turn	flip	set	shut
flip	turn	switch	flick	toggle
shut	close	seal
seal	seal off
seal	varnish
turn	rotate	flip	set	spin	switch	flick	dial	steer
flick	flicker
turn	flip	set	power
rotate	turn	twist	screw	unscrew	spin
set	plot
plot	connive	intrigue	scheme
plot	diagram
turn	change state
turn around	swing about	swing around
turn back	backtrack	double back
turn on	switch on
turn on	depend on	depend upon	devolve on	hinge on	hinge upon
turn to	address
twist	wrestle	squirm	worm	wriggle	writhe
twist around	pervert	sophisticate
type	input
type	typing
unbalance	derange
uncoil	coil
gyrate	coil	spiral
undress	strip	disrobe
undress	unmask
undress	strip	unmask
strip	deprive	divest
unfold	extend
unfold	blossom	blossom forth	blossom out
unlock	unbar
unlock	unbar	unbolt
unroll	unwind	wind off
unroll	unfurl
untangle	disentangle	extricate
untie	unfasten	free	unhook
free	release
drop	dump	release
empty	dump
pour	dump
release	revisit
untie	unfasten	unhook	undo
untie	unfasten	free	unhook	detach	unwrap
detach	unplug	disengage	disconnect
free	undo
undo	unmake
unscrew	unplug
uncover	unplug	unpin	unblock
reveal	unveil	uncover	bring out
untie	unfasten	free	unknot	unstrap
unknot	untangle	unravel
untie	unfasten	free	unhook	detach	unwrap	unlash	disconnect
detach	come away	come off
unplug	disconnect
unwind	disentangle
use	with
use	employ	exploit	operate
use	equip
vandalise	vandalize
vibrate	resonate
tickle	vibrate	thrill
shiver	shudder	thrill	throb
wait	loiter
linger	tarry	loiter	lurk	hang around	loaf	lounge	mess about	mill about	mill around
linger	hover
lurk	waylay	ambush	lie in wait
wait	stay
wake	awake	awaken
wake	awake	startle	surprise
startle	surprise	scare	frighten	arouse
wake	awake	rouse
wake	awake	awaken	rouse
wake	awake	awaken	revive	resuscitate
wake	awake	awaken	startle	surprise	rouse
startle	surprise	scare	curdle
curdle	clot
scare	threaten
startle	galvanize
jump	startle
surprise	amaze	astonish	astound
surprise	ball over	blow out of the water	floor	take aback
threaten	endanger	imperil	jeopardize	menace	peril
wake	awake	rouse	revive
walk	run	proceed	step	sidle
run	walk	proceed	step	drive	steer	go
point	steer
run	walk	ride	swim	go
run	walk	explore	go
step	tread
step	abuse	mistreat
trample	tread
tramp down	trample	tread down
travel	move	go
travel	journey	tour
walk around	walk about
walk away	walk off
waltz	waltz around
warble	quaver
warm	warm up
limber up	warm up	loosen up
wash	rinse
wash	launder
wash out	rain out
wash off	wash away	wash out
wash up	exhaust
watch	observe
examine	describe	watch	inspect	observe	study
examine	describe	watch	check	inspect	observe	study	see	survey
examine	describe	check	inspect	study	see	survey	trace
follow	trace
inspect	case
watch	witness
water	irrigate
wave	brandish
wave	beckon
smile	grin	laugh	sneer	nod	wave
smile	grin	smirk
wave	brandish	beckon	motion
smile	grin	laugh	sneer	nod	beckon	motion
gesture	motion
laugh	cackle
laugh	haw	ha
laugh	express joy	express mirth
nod	sure	yup	yeah
smile	grin	wink
wave	show
wear	don
wear	have on
weave	interweave
wedge	force
wedge	prop
lean	prop	stand
put	place	insert	stuff	lay	wedge	force	stash
stash	lay away	cache	hive up	hoard	squirrel away
stick	wedge	deposit	lodge
deposit	bank
whack	wallop	wham	whop
bash	sock	bop	whop
what	who
whet	quicken
whiff	puff
drag	puff
whine	snivel
screech	whine	creak	squeak
screech	squawk
sniffle	snivel	blubber	snuffle
blubber	blubber out
sniff	sniffle
whine	grizzle
whirl	twirl	swirl
whisk	whisk off
white	whiten
whizz	whiz	purr	whir
whizz	zoom	zoom along
wield	equip
will	bequeath
wink at	connive at
wipe off	wipe away
wipe up	mop	mop up
wish	dream	hope	yearn
dream	daydream
moon	daydream
moon	moon around	moon on
withdraw	disengage
wolf	wolf down
work	busy	occupy
work	volunteer
work on	work at
worship	idolize	revere
fear	revere	reverence	venerate
wrap	drape
wrap	fold
tie	fasten	attach	connect	wrap	hook	loop
fasten	tie	attach	secure	strap
hide	wrap	cove
hide	hide out
hide	shroud
loop	intertwine
loop	coil	curl
pluck	rob	hook	soak	fleece	plume	surcharge
hook	crochet
pluck	plunk
secure	procure
procure	pander	pimp
shear	fleece
soak	drench	souse	sop
soak	hock	pawn
tie	wrap	fast
wrap	wrap up
wreck	bust up
wring out	squeeze out
write on	write about	write of
yank	jerk
